Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
112,Pierre-Luc Dubois,24,WPG,LW,16,7,6,13,-5,14,1.3,4,3,0,1,3,3,0,48,14.6,291,18:11,7,26,101,95,51.5,duboipi01
113,Justin Faulk,30,STL,D,17,3,10,13,1,8,1.9,3,0,0,1,7,3,0,51,5.9,399,23:29,27,27,0,0,,faulkju01
114,Mikael Granlund,30,NSH,C,18,1,12,13,-9,4,0.4,1,0,0,0,8,4,0,27,3.7,349,19:22,11,22,74,102,42.0,granlmi01
115,Brandon Hagel,24,TBL,LW,18,5,8,13,4,12,1.2,4,1,0,1,6,2,0,35,14.3,330,18:20,12,9,5,21,19.2,hagelbr01
116,Boone Jenner,29,CBJ,C,17,7,6,13,-4,10,1.2,5,2,0,1,6,0,0,58,12.1,337,19:50,26,28,193,158,55.0,jennebo01
117,Arthur Kaliyev,21,LAK,RW,20,6,7,13,-1,4,1.3,2,4,0,0,5,2,0,44,13.6,227,11:20,6,10,0,0,,kaliyar01
118,Evander Kane,31,EDM,LW,14,5,8,13,4,16,1.3,5,0,0,0,6,2,0,50,10.0,273,19:30,8,51,3,8,27.3,kaneev01
119,Patrick Kane,34,CHI,RW,17,2,11,13,-7,2,0.7,2,0,0,0,4,7,0,47,4.3,336,19:47,3,4,1,0,100.0,kanepa01
120,William Karlsson,30,VEG,C,19,4,9,13,3,2,1.1,3,1,0,1,6,1,2,39,10.3,332,17:27,14,13,154,118,56.6,karlswi01
121,Andrei Kuzmenko,26,VAN,F,17,7,6,13,2,0,1.5,3,4,0,1,5,1,0,40,17.5,256,15:02,8,0,0,0,,kuzmean01
122,Artturi Lehkonen,27,COL,LW,16,6,7,13,4,8,1.3,3,3,0,2,1,6,0,40,15.0,338,21:06,12,22,0,9,0.0,lehkoar01
123,Vladimir Tarasenko,31,STL,RW,16,4,9,13,-4,4,1.0,4,0,0,0,6,3,0,44,9.1,286,17:54,7,16,0,1,0.0,tarasvl01
124,Tyler Toffoli,30,CGY,C,17,6,7,13,1,4,1.4,3,3,0,2,5,2,0,59,10.2,282,16:35,4,19,0,1,0.0,toffoty01
125,Vincent Trocheck,29,NYR,C,19,6,7,13,-4,10,1.1,2,4,0,0,4,3,0,69,8.7,397,20:55,8,59,165,132,55.6,trochvi01
126,Tyson Barrie,31,EDM,D,18,3,9,12,2,8,1.7,1,2,0,0,4,5,0,27,11.1,341,18:56,17,10,0,0,,barrity01
127,Brent Burns,37,CAR,D,18,3,9,12,1,14,2.0,2,1,0,1,3,6,0,68,4.4,427,23:44,13,8,0,0,,burnsbr01
128,Dylan Cozens,21,BUF,C,18,4,8,12,-1,10,0.9,4,0,0,0,5,2,1,41,9.8,309,17:10,8,19,129,136,48.7,cozendy01
129,Noah Dobson,23,NYI,D,19,5,7,12,-2,2,1.8,3,2,0,2,3,4,0,55,9.1,397,20:53,34,12,0,0,,dobsono01
130,Max Domi,27,CHI,LW,17,4,8,12,-5,25,0.9,1,3,0,1,5,3,0,27,14.8,310,18:13,4,5,145,95,60.4,domima01
131,Joel Eriksson Ek,26,MIN,C,18,6,6,12,-2,14,1.2,3,2,1,0,4,2,0,56,10.7,349,19:24,10,27,145,163,47.1,eriksjo02
132,Taylor Hall,31,BOS,LW,18,6,6,12,4,12,1.4,5,1,0,3,5,1,0,42,14.3,293,16:15,8,12,1,3,25.0,hallta02
133,Miro Heiskanen,23,DAL,D,15,2,10,12,6,10,1.9,1,1,0,0,4,5,1,35,5.7,362,24:08,20,12,0,0,,heiskmi01
134,David Krejci,36,BOS,C,15,5,7,12,-2,6,1.1,3,2,0,0,3,4,0,18,27.8,250,16:39,7,7,75,61,55.1,krejcda01
135,Jordan Kyrou,24,STL,C,17,6,6,12,-12,2,0.8,3,3,0,1,5,1,0,54,11.1,306,17:59,12,4,2,2,50.0,kyroujo01
136,Mason Marchment,27,DAL,F,18,6,6,12,1,11,1.2,4,2,0,1,5,1,0,45,13.3,284,15:48,9,22,5,5,50.0,marchma01
137,Valeri Nichushkin,27,COL,RW,7,7,5,12,1,0,1.6,1,5,1,1,3,1,1,26,26.9,143,20:28,5,12,0,1,0.0,nichuva01
138,Lucas Raymond,20,DET,LW,18,6,6,12,0,12,1.1,3,3,0,2,4,2,0,34,17.6,330,18:20,2,7,1,3,25.0,raymolu01
139,Matthew Beniers,20,SEA,C,18,5,6,11,-7,0,0.7,4,1,0,1,4,2,0,30,16.7,315,17:30,13,19,98,119,45.2,beniema01
140,Brock Boeser,25,VAN,RW,12,2,9,11,-9,6,0.5,1,1,0,1,6,3,0,30,6.7,197,16:25,2,7,2,7,22.2,boesebr01
141,Matt Boldy,21,MIN,LW,18,6,5,11,0,8,1.1,5,1,0,0,1,4,0,54,11.1,345,19:11,4,18,16,9,64.0,boldyma01
142,Pavel Buchnevich,27,STL,LW,12,4,7,11,3,4,1.2,3,1,0,1,4,3,0,26,15.4,228,18:59,4,11,2,11,15.4,buchnpa01
143,John Carlson,33,WSH,D,14,5,6,11,-5,2,1.5,3,1,1,0,3,3,0,49,10.2,324,23:07,34,19,0,0,,carlsjo01
144,Joel Farabee,22,PHI,LW,18,3,8,11,1,4,0.8,3,0,0,1,8,0,0,36,8.3,340,18:52,15,17,8,5,61.5,farabjo01
145,Gustav Forsling,26,FLA,D,18,2,9,11,12,10,2.2,2,0,0,0,7,2,0,56,3.6,435,24:09,21,15,0,0,,forslgu02
146,Adrian Kempe,26,LAK,LW,21,7,4,11,-1,18,0.9,6,1,0,1,2,2,0,62,11.3,394,18:46,7,30,0,2,0.0,kempead01
147,Casey Mittelstadt,24,BUF,C,18,5,6,11,-5,4,0.8,1,3,1,0,1,5,0,31,16.1,300,16:41,1,9,127,127,50.0,mitteca01
148,Nino Niederreiter,30,NSH,RW,18,9,2,11,-6,6,1.2,7,2,0,1,1,1,0,36,25.0,287,15:57,6,48,2,2,50.0,niedeni01
149,Darnell Nurse,27,EDM,D,18,3,8,11,4,20,1.8,2,0,1,0,7,1,0,33,9.1,423,23:29,31,37,0,0,,nurseda01
150,Victor Olofsson,27,BUF,RW,18,9,2,11,-2,2,1.3,7,2,0,1,1,1,0,51,17.6,279,15:31,3,3,1,3,25.0,olofsvi01
151,Jean-Gabriel Pageau,30,NYI,C,19,3,8,11,-1,2,0.8,1,2,0,1,7,1,0,31,9.7,340,17:54,14,57,209,153,57.7,pageaje01
152,Nick Paul,27,TBL,LW,18,6,5,11,10,6,1.4,5,1,0,1,5,0,0,33,18.2,308,17:08,15,36,115,106,52.0,paulni01
153,Neal Pionk,27,WPG,D,16,4,7,11,-2,2,1.9,4,0,0,1,6,1,0,35,11.4,360,22:29,23,39,0,0,,pionkne01
154,Rickard Rakell,29,PIT,RW,18,7,4,11,10,0,1.5,5,2,0,0,3,1,0,57,12.3,312,17:21,11,34,6,4,60.0,rakelri01
155,Nicolas Roy,25,VEG,C,18,4,7,11,3,2,1.1,3,1,0,1,4,2,1,25,16.0,271,15:05,11,24,111,111,50.0,royni01
156,Jaden Schwartz,30,SEA,C,18,5,6,11,-8,4,0.7,1,4,0,0,6,0,0,40,12.5,321,17:49,4,16,20,17,54.1,schwaja01
157,Ryan Strome,29,ANA,C,18,5,6,11,-5,8,0.7,4,1,0,1,6,0,0,30,16.7,325,18:04,7,10,134,166,44.7,stromry01
158,Tomas Tatar,32,NJD,LW,18,3,8,11,14,12,1.4,3,0,0,0,8,0,0,37,8.1,263,14:38,13,16,6,11,35.3,tatarto01
159,Devon Toews,28,COL,D,14,1,10,11,8,2,1.9,1,0,0,0,9,1,0,26,3.8,334,23:50,29,8,0,0,,toewsde01
160,Jonathan Toews,34,CHI,C,17,8,3,11,-3,12,1.3,4,4,0,1,2,1,0,36,22.2,292,17:10,11,1,207,111,65.1,toewsjo01
161,Pavel Zacha,25,BOS,C,18,3,8,11,3,2,1.0,2,1,0,1,8,0,0,37,8.1,278,15:27,3,11,27,36,42.9,zachapa01
162,Alexander Barabanov,28,SJS,F,16,1,9,10,-8,2,0.4,0,1,0,0,5,4,0,25,4.0,283,17:40,13,13,0,0,,barabal01
163,Travis Boyd,29,ARI,C,16,2,8,10,-9,10,0.5,1,1,0,1,4,4,0,17,11.8,274,17:08,12,8,113,141,44.5,boydtr01
164,Michael Bunting,27,TOR,LW,19,4,6,10,4,28,1.0,4,0,0,1,4,2,0,34,11.8,296,15:33,5,20,1,1,50.0,buntimi01
165,Andrew Copp,28,DET,C,18,1,9,10,-2,4,0.4,1,0,0,1,9,0,0,19,5.3,314,17:27,12,10,109,143,43.3,coppan01
166,Anthony DeAngelo,27,PHI,D,18,3,7,10,-6,25,1.3,2,1,0,0,2,5,0,37,8.1,453,25:09,29,6,0,0,,deangan01
167,Drew Doughty,33,LAK,D,21,1,9,10,1,16,1.6,0,1,0,0,6,3,0,38,2.6,556,26:27,22,30,0,0,,doughdr01
168,Vince Dunn,26,SEA,D,18,2,8,10,0,8,1.5,2,0,0,0,4,4,0,28,7.1,420,23:19,18,20,0,0,,dunnvi02
169,Nick Foligno,35,BOS,LW,18,3,7,10,8,9,1.1,3,0,0,0,5,2,0,24,12.5,224,12:26,11,39,11,5,68.8,foligni01
170,Shayne Gostisbehere,29,ARI,D,16,4,6,10,-12,6,1.1,1,2,1,1,3,3,0,38,10.5,335,20:56,23,7,0,0,,gostish01
171,Adam Henrique,32,ANA,C,17,6,4,10,0,6,1.0,5,1,0,0,2,2,0,32,18.8,288,16:57,6,15,86,71,54.8,henriad01
172,Nick Jensen,32,WSH,D,20,1,9,10,3,8,1.7,1,0,0,0,8,0,1,24,4.2,415,20:44,38,29,0,0,,jenseni02
173,Ryan Johansen,30,NSH,C,18,5,5,10,-6,14,0.7,3,2,0,0,2,3,0,23,21.7,296,16:25,11,20,192,109,63.8,johanry01
